nom,prix,image,adresse
Chien Pitbull,170000.0,https://images.coinafrique.com/2927795_uploaded_image1_1612299824.jpg,"Dakar, Sénégal"
Chiots bolognais,150000.0,https://images.coinafrique.com/2932610_uploaded_image2_1612474936.jpeg,"Dakar, Sénégal"
Berger femelle,160000.0,https://images.coinafrique.com/2939379_uploaded_image2_1612792768.jpeg,"Dieuppeul-Derklé, Dakar, Sénégal"
Chiot berger allemand / husky,175000.0,https://images.coinafrique.com/2945713_uploaded_image1_1613048772.jpg,"Dakar, Sénégal"
Chiots Malinois,300000.0,https://images.coinafrique.com/2946384_uploaded_image2_1613065281.jpeg,"Grand Yoff, Dakar, Sénégal"
Chien,500000.0,https://images.coinafrique.com/2949981_uploaded_image2_1613237926.jpeg,"Mbao, Dakar, Sénégal"
Chien Pitbull femelle,300000.0,https://images.coinafrique.com/thumb_2950286_uploaded_image1_1613256678.jpg,"Saint Louis, Sénégal"
Chiots malinois,250000.0,https://images.coinafrique.com/2951499_uploaded_image1_1613343581.jpg,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiots Malinois,230000.0,https://images.coinafrique.com/2951762_uploaded_image1_1613378483.jpg,"Dakar, Sénégal"
Chiot boerboel,300000.0,https://images.coinafrique.com/2957371_uploaded_image2_1613600367.jpeg,"HLM, Dakar, Sénégal"
Chiot Husky 4mois femelle,171998628018409.84,https://images.coinafrique.com/thumb_2962156_uploaded_image1_1613831786.jpg,"Mbao, Dakar, Sénégal"
Chiots,150000.0,https://images.coinafrique.com/2965558_uploaded_image2_1614019536.jpeg,"Hann Bel-Air, Dakar, Sénégal"
Chiots bichons maltais pure race,171998628018409.84,https://images.coinafrique.com/2972487_uploaded_image2_1614338722.jpeg,"Mbao, Dakar, Sénégal"
Chiots boerboels purebreed,400000.0,https://images.coinafrique.com/thumb_2974090_uploaded_image1_1614426862.jpg,"Thies, Sénégal"
Chiots Rottweiler,300000.0,https://images.coinafrique.com/2978927_uploaded_image1_1614644526.jpg,"Dakar, Sénégal"
Chiots Cane Corso,171998628018409.84,https://images.coinafrique.com/2996177_uploaded_image2_1615461551.jpeg,"Dakar, Sénégal"
Chien cane corso,171998628018409.84,https://images.coinafrique.com/2996181_uploaded_image1_1615461660.jpg,"Dakar, Sénégal"
Chiot Labrador,450000.0,https://images.coinafrique.com/3005026_uploaded_image1_1615910656.jpg,"Sicap Liberté, Dakar, Sénégal"
Berger belge malinois,171998628018409.84,https://images.coinafrique.com/thumb_3005565_uploaded_image1_1615928047.jpg,"Mamelles, Dakar, Sénégal"
Chiot cane corso,450000.0,https://images.coinafrique.com/3005863_uploaded_image1_1615940766.jpg,"Colobane, Dakar, Sénégal"
Chien Bijon Malté,210000.0,https://images.coinafrique.com/3012169_uploaded_image1_1616254703.jpg,"Sicap Liberté, Dakar, Sénégal"
Chiots Bergers Allemands,150000.0,https://images.coinafrique.com/3018685_uploaded_image2_1616591306.jpeg,"Pikine, Sénégal"
Chiot couple teckel,200.0,https://images.coinafrique.com/3023422_uploaded_image2_1616809085.jpeg,"Yoff, Dakar, Sénégal"
Chiot pitbull,150.0,https://images.coinafrique.com/3025431_uploaded_image1_1616942140.jpg,"Mamelles, Dakar, Sénégal"
Chiot Husky,450000.0,https://images.coinafrique.com/3032898_uploaded_image1_1617282596.jpg,"Dakar Plateau, Dakar, Sénégal"
Chiots Bergers Allemands,150000.0,https://images.coinafrique.com/3035100_uploaded_image3_1617361106.jpeg,"Rufisque, Sénégal"
Chiot femelle Yorkshire,400000.0,https://images.coinafrique.com/3045523_uploaded_image1_1617806957.jpg,"Dakar, Sénégal"
Chiot berger allemand,160000.0,https://images.coinafrique.com/3057290_uploaded_image1_1618331429.jpg,"Dakar, Sénégal"
Chiots Berger allemand,160000.0,https://images.coinafrique.com/3057308_uploaded_image1_1618332176.jpg,"Dakar, Sénégal"
